# File generated fom CXRO data
# found in https://henke.lbl.gov/optical_constants/asf.html
#S 89 Ac
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
       11.3696  -9999.000000      1.699330
       11.5535  -9999.000000      1.787550
       11.7404  -9999.000000      1.879960
       11.9303  -9999.000000      1.977150
       12.1232  -9999.000000      2.079360
       12.3193  -9999.000000      2.186860
       12.5186  -9999.000000      2.299920
       12.7210  -9999.000000      2.418240
       12.9268  -9999.000000      2.531970
       13.1359  -9999.000000      2.651050
       13.3483  -9999.000000      2.775720
       13.5642  -9999.000000      2.906270
       13.7836  -9999.000000      3.042940
       14.0066  -9999.000000      3.186050
       14.2331  -9999.000000      3.335890
       14.4633  -9999.000000      3.476810
       14.6973  -9999.000000      3.606440
       14.9350  -9999.000000      3.740920
       15.1765  -9999.000000      3.880400
       15.4220  -9999.000000      4.025090
       15.6714  -9999.000000      4.175170
       15.9249  -9999.000000      4.297130
       16.1825  -9999.000000      4.414410
       16.4442  -9999.000000      4.534880
       16.7102  -9999.000000      4.658650
       16.9805  -9999.000000      4.785790
       17.2551  -9999.000000      4.901060
       17.5342  -9999.000000      4.989370
       17.8178  -9999.000000      5.079260
       18.1060  -9999.000000      5.170770
       18.3989  -9999.000000      5.290550
       18.6964  -9999.000000      5.459840
       18.9988  -9999.000000      5.634550
       19.3061  -9999.000000      5.814850
       19.6184  -9999.000000      6.000910
       19.9357  -9999.000000      6.192930
       20.2582  -9999.000000      6.426310
       20.5858  -9999.000000      6.672870
       20.9188  -9999.000000      6.928900
       21.2571  -9999.000000      7.194760
       21.6009  -9999.000000      7.470810
       21.9503  -9999.000000      7.697700
       22.3053  -9999.000000      7.913410
       22.6661  -9999.000000      8.135170
       23.0327  -9999.000000      8.363130
       23.4053  -9999.000000      8.597500
       23.7838  -9999.000000      8.816790
       24.1685  -9999.000000      8.872600
       24.5594  -9999.000000      8.928770
       24.9566  -9999.000000      8.985300
       25.3603  -9999.000000      9.042180
       25.7705  -9999.000000      9.099490
       26.1873  -9999.000000      9.218170
       26.6109  -9999.000000      9.338380
       27.0413  -9999.000000      9.460180
       27.4786  -9999.000000      9.583550
       27.9231  -9999.000000      9.708530
       28.3747  -9999.000000      9.844460
       28.8337  -9999.000000     10.030400
       29.3000     -1.819220     10.219900
       29.7739     -1.728680     10.413000
       30.2555     -1.625870     10.609700
       30.7449     -1.506830     10.810100
       31.2421     -1.369420     10.996400
       31.7475     -1.237940     11.176700
       32.2609     -1.104690     11.360000
       32.7827     -0.965780     11.546400
       33.3130     -0.819277     11.735800
       33.8518     -0.660791     11.928300
       34.3993     -0.480585     12.123900
       34.9557     -0.289667     12.280000
       35.5211     -0.115068     12.430700
       36.0956      0.054422     12.583200
       36.6794      0.222635     12.737600
       37.2727      0.391268     12.893900
       37.8755      0.561365     13.052100
       38.4882      0.733759     13.212300
       39.1107      0.909163     13.374400
       39.7432      1.088350     13.538500
       40.3861      1.272360     13.704600
       41.0393      1.464090     13.872800
       41.7031      1.660620     14.032900
       42.3776      1.857090     14.193600
       43.0630      2.055390     14.356100
       43.7595      2.257260     14.520600
       44.4673      2.463330     14.686800
       45.1865      2.674310     14.855000
       45.9174      2.890860     15.025200
       46.6600      3.114090     15.197200
       47.4147      3.347520     15.371300
       48.1816      3.587810     15.537500
       48.9609      3.829400     15.703300
       49.7528      4.075120     15.870700
       50.5576      4.326320     16.040000
       51.3753      4.584000     16.211100
